class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,,,,5.961744,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,,,,27.5949,,,,,,,,,
Source,GL_resource_hard_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,,,,45.86634,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,,,,86.86674,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,,,,54.05328,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,,,,27.24696,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,,,,1E-10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### JOdr01 - Jordan Region 1,,,,,,,,,,,,,,,,,,,,
Sink,JOdr01_excess,JOdr01_bus_el,JOdr01_excess,,,,,,,,0.00000001,,,,,,,,,
Source,JOdr01_shortage,JOdr01_shortage,JOdr01_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,JOdr01_pp_hard_coal,GL_bus_hard_coal,JOdr01_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_pp_hard_coal,JOdr01_pp_hard_coal,JOdr01_bus_el,0.38,500,,1,,,35000,4,,,,,,,,,
LinearTransformer,JOdr01_pp_gas,GL_bus_gas,JOdr01_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_pp_gas,JOdr01_pp_gas,JOdr01_bus_el,0.425,7375,,1,,,19000,2,,,,,,,,,
LinearTransformer,JOdr01_pp_oil,GL_bus_oil,JOdr01_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_pp_oil,JOdr01_pp_oil,JOdr01_bus_el,0.34,500,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,JOdr01_pp_biomass,GL_bus_biomass,JOdr01_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,JOdr01_pp_biomass,JOdr01_pp_biomass,JOdr01_bus_el,0.38,340,,1,8760,,29000,3.9,,,,,,,,,
Source,JOdr01_wind,JOdr01_wind,JOdr01_bus_el,,1515,,,,seq,,,True,,,,,,,,
Source,JOdr01_solar,JOdr01_solar,JOdr01_bus_el,,2532,,,,seq,,,True,,,,,,,,
Source,JOdr01_run_of_river,JOdr01_run_of_river,JOdr01_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,JOdr01_geothermal,JOdr01_geothermal,JOdr01_bus_el,,188,,,,0,,,,,,,,,,,
Storage,JOdr01_storage_phs,JOdr01_bus_el,JOdr01_storage_phs,,1E-16,,1,,,,0.000000001,,1E-16,0,0.9,0.9,0.5,0,1,
