"class","Sink","Source","Source","Source","Storage","Source","Source","Storage","Sink","Source","Source","Source","Storage","Source","Source","Storage","Sink","Source","Source","Source","Storage","Source","Source","Storage","Sink","Source","Source","Source","Storage","Source","Source","Storage","Sink","Source","Source","Sink","Source","Source","Sink","Source","Source","Sink","Source","Source","Sink","Source","Source","Sink","Source","Source"
"label","JOdr01_load","JOdr01_solar","JOdr01_csp_direct","JOdr01_csp","JOdr01_cspstorage","JOdr01_wind","JOdr01_hydroreservoir","JOdr01_reservoir","JOdr02_load","JOdr02_solar","JOdr02_csp_direct","JOdr02_csp","JOdr02_cspstorage","JOdr02_wind","JOdr02_hydroreservoir","JOdr02_reservoir","JOdr03_load","JOdr03_solar","JOdr03_csp_direct","JOdr03_csp","JOdr03_cspstorage","JOdr03_wind","JOdr03_hydroreservoir","JOdr03_reservoir","JOdr04_load","JOdr04_solar","JOdr04_csp_direct","JOdr04_csp","JOdr04_cspstorage","JOdr04_wind","JOdr04_hydroreservoir","JOdr04_reservoir","SY_load","SY_solar","SY_wind","IQ_load","IQ_solar","IQ_wind","SA_load","SA_solar","SA_wind","EG_load","EG_solar","EG_wind","IL_load","IL_solar","IL_wind","WB_load","WB_solar","WB_wind"
"source","JOdr01_bus_el","JOdr01_solar","JOdr01_csp_direct","JOdr01_csp","JOdr01_bus_el","JOdr01_wind","JOdr01_hydroreservoir","JOdr01_bus_el","JOdr02_bus_el","JOdr02_solar","JOdr02_csp_direct","JOdr02_csp","JOdr02_bus_el","JOdr02_wind","JOdr02_hydroreservoir","JOdr02_bus_el","JOdr03_bus_el","JOdr03_solar","JOdr03_csp_direct","JOdr03_csp","JOdr03_bus_el","JOdr03_wind","JOdr03_hydroreservoir","JOdr03_bus_el","JOdr04_bus_el","JOdr04_solar","JOdr04_csp_direct","JOdr04_csp","JOdr04_bus_el","JOdr04_wind","JOdr04_hydroreservoir","JOdr04_bus_el","SY_bus_el","SY_solar","SY_wind","IQ_bus_el","IQ_solar","IQ_wind","SA_bus_el","SA_solar","SA_wind","EG_bus_el","EG_solar","EG_wind","IL_bus_el","IL_solar","IL_wind","WB_bus_el","WB_solar","WB_wind"
"target","JOdr01_load","JOdr01_bus_el","JOdr01_bus_el","JOdr01_bus_el","JOdr01_cspstorage","JOdr01_bus_el","JOdr01_bus_el","JOdr01_reservoir","JOdr02_load","JOdr02_bus_el","JOdr02_bus_el","JOdr02_bus_el","JOdr02_cspstorage","JOdr02_bus_el","JOdr02_bus_el","JOdr02_reservoir","JOdr03_load","JOdr03_bus_el","JOdr03_bus_el","JOdr03_bus_el","JOdr03_cspstorage","JOdr03_bus_el","JOdr03_bus_el","JOdr03_reservoir","JOdr04_load","JOdr04_bus_el","JOdr04_bus_el","JOdr04_bus_el","JOdr04_cspstorage","JOdr04_bus_el","JOdr04_bus_el","JOdr04_reservoir","SY_load","SY_bus_el","SY_bus_el","IQ_load","IQ_bus_el","IQ_bus_el","SA_load","SA_bus_el","SA_bus_el","EG_load","EG_bus_el","EG_bus_el","IL_load","IL_bus_el","IL_bus_el","WB_load","WB_bus_el","WB_bus_el"
"attribute","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value","actual_value"
"2014-01-01 00:00:00+00:00",0.58,0,0,0,0,0.01,1,1,0.58,0,0,0,0,0.13,1,1,0.58,0,0,0,0,0,1,1,0.58,0,0,0,0,0.12,1,1,0.63,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 01:00:00+00:00",0.58,0,0,0,0,0,1,1,0.58,0,0,0,0,0.09,1,1,0.58,0,0,0,0,0,1,1,0.58,0,0,0,0,0.12,1,1,0.58,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 02:00:00+00:00",0.55,0,0,0,0,0,1,1,0.55,0,0,0,0,0.08,1,1,0.55,0,0,0,0,0,1,1,0.55,0,0,0,0,0.09,1,1,0.55,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 03:00:00+00:00",0.52,0,0,0,0,0,1,1,0.52,0,0,0,0,0.07,1,1,0.52,0,0,0,0,0.01,1,1,0.52,0,0,0,0,0.05,1,1,0.53,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 04:00:00+00:00",0.51,0,0,0,0,0,1,1,0.51,0,0,0,0,0.06,1,1,0.51,0,0,0,0,0.01,1,1,0.51,0,0,0,0,0.02,1,1,0.53,0.06,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 05:00:00+00:00",0.54,0,0,0,0,0.01,1,1,0.54,0,0,0,0,0.06,1,1,0.54,0,0,0,0,0.01,1,1,0.54,0,0,0,0,0.01,1,1,0.53,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 06:00:00+00:00",0.53,0,0,0,0,0.01,1,1,0.53,0,0,0,0,0.13,1,1,0.53,0,0,0,0,0.01,1,1,0.53,0,0,0,0,0.01,1,1,0.52,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 07:00:00+00:00",0.54,0,0,0,0,0.01,1,1,0.54,0.01,0,0,0,0.14,1,1,0.54,0,0,0,0,0.01,1,1,0.54,0.01,0,0,0,0,1,1,0.55,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 08:00:00+00:00",0.6,0.13,0,0,0,0.01,1,1,0.6,0.15,0,0,0,0.14,1,1,0.6,0.15,0,0,0,0.01,1,1,0.6,0.17,0,0,0,0,1,1,0.66,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 09:00:00+00:00",0.59,0.34,0,0,0,0.01,1,1,0.59,0.36,0,0,0,0.14,1,1,0.59,0.37,0,0,0,0.01,1,1,0.59,0.38,0,0,0,0,1,1,0.69,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 10:00:00+00:00",0.6,0.51,0,0,0,0.01,1,1,0.6,0.52,0,0,0,0.15,1,1,0.6,0.55,0,0,0,0.02,1,1,0.6,0.53,0,0,0,0.01,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 11:00:00+00:00",0.62,0.58,0,0,0,0,1,1,0.62,0.59,0,0,0,0.17,1,1,0.62,0.62,0,0,0,0.02,1,1,0.62,0.6,0,0,0,0.01,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 12:00:00+00:00",0.63,0.6,0,0,0,0,1,1,0.63,0.6,0.08,0.08,0.08,0.17,1,1,0.63,0.64,0.18,0.18,0.18,0.03,1,1,0.63,0.62,0.18,0.18,0.18,0.01,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 13:00:00+00:00",0.62,0.51,0.32,0.32,0.32,0,1,1,0.62,0.5,0.66,0.66,0.66,0.11,1,1,0.62,0.55,0.8,0.8,0.8,0.03,1,1,0.62,0.52,0.77,0.77,0.77,0.01,1,1,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 14:00:00+00:00",0.62,0.37,0.3,0.3,0.3,0,1,1,0.62,0.35,0.29,0.29,0.29,0.06,1,1,0.62,0.39,0.38,0.38,0.38,0.04,1,1,0.62,0.37,0.35,0.35,0.35,0.01,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 15:00:00+00:00",0.64,0.26,0,0,0,0,1,1,0.64,0.23,0,0,0,0.07,1,1,0.64,0.26,0,0,0,0.04,1,1,0.64,0.24,0,0,0,0,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 16:00:00+00:00",0.69,0,0,0,0,0.01,1,1,0.69,0,0,0,0,0.12,1,1,0.69,0,0,0,0,0.03,1,1,0.69,0,0,0,0,0,1,1,0.7,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 17:00:00+00:00",0.72,0,0,0,0,0.01,1,1,0.72,0,0,0,0,0.18,1,1,0.72,0,0,0,0,0.03,1,1,0.72,0,0,0,0,0,1,1,0.68,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 18:00:00+00:00",0.69,0,0,0,0,0.03,1,1,0.69,0,0,0,0,0.23,1,1,0.69,0,0,0,0,0.04,1,1,0.69,0,0,0,0,0.02,1,1,0.65,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 19:00:00+00:00",0.65,0,0,0,0,0.04,1,1,0.65,0,0,0,0,0.27,1,1,0.65,0,0,0,0,0.07,1,1,0.65,0,0,0,0,0.12,1,1,0.62,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 20:00:00+00:00",0.64,0,0,0,0,0.06,1,1,0.64,0,0,0,0,0.27,1,1,0.64,0,0,0,0,0.09,1,1,0.64,0,0,0,0,0.24,1,1,0.7,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2014-01-01 21:00:00+00:00",0.64,0,0,0,0,0.08,1,1,0.64,0,0,0,0,0.25,1,1,0.64,0,0,0,0,0.1,1,1,0.64,0,0,0,0,0.37,1,1,0.77,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
