class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,,,,5.961744,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,,,,27.5949,,,,,,,,,
Source,GL_resource_hard_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,,,,45.86634,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,,,,86.86674,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,,,,54.05328,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,,,,27.24696,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,,,,1E-10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### MAdr01 - Morocco Region 1,,,,,,,,,,,,,,,,,,,,
Sink,MAdr01_excess,MAdr01_bus_el,MAdr01_excess,,,,,,,,0.00000001,,,,,,,,,
Source,MAdr01_shortage,MAdr01_shortage,MAdr01_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,MAdr01_pp_hard_coal,GL_bus_hard_coal,MAdr01_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_pp_hard_coal,MAdr01_pp_hard_coal,MAdr01_bus_el,0.38,5399,,1,,,35000,4,,,,,,,,,
LinearTransformer,MAdr01_pp_gas,GL_bus_gas,MAdr01_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_pp_gas,MAdr01_pp_gas,MAdr01_bus_el,0.425,4651,,1,,,19000,2,,,,,,,,,
LinearTransformer,MAdr01_pp_oil,GL_bus_oil,MAdr01_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_pp_oil,MAdr01_pp_oil,MAdr01_bus_el,0.34,674,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,MAdr01_pp_biomass,GL_bus_biomass,MAdr01_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,MAdr01_pp_biomass,MAdr01_pp_biomass,MAdr01_bus_el,0.38,1233,,1,6500,,29000,3.9,,,,,,,,,
Source,MAdr01_wind,MAdr01_wind,MAdr01_bus_el,,4181,,,,seq,,,True,,,,,,,,
Source,MAdr01_solar,MAdr01_solar,MAdr01_bus_el,,1360,,,,seq,,,True,,,,,,,,
Source,MAdr01_run_of_river,MAdr01_run_of_river,MAdr01_bus_el,,1E-16,,,,0,,,,,,,,,,,
Source,MAdr01_geothermal,MAdr01_geothermal,MAdr01_bus_el,,1E-16,,,,0,,,,,,,,,,,
Storage,MAdr01_storage_phs,MAdr01_bus_el,MAdr01_storage_phs,,4032,,1,,,,0.000000001,,351000,0,0.9,0.9,0.5,0,1,
