class,Sink,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source
label,MAdr01_load,MAdr01_solar,MAdr01_csp_direct,MAdr01_csp,MAdr01_cspstorage,MAdr01_wind,MAdr01_hydroreservoir,MAdr01_reservoir,MAdr02_load,MAdr02_solar,MAdr02_csp_direct,MAdr02_csp,MAdr02_cspstorage,MAdr02_wind,MAdr02_hydroreservoir,MAdr02_reservoir,MAdr03_load,MAdr03_solar,MAdr03_csp_direct,MAdr03_csp,MAdr03_cspstorage,MAdr03_wind,MAdr03_hydroreservoir,MAdr03_reservoir,MAdr04_load,MAdr04_solar,MAdr04_csp_direct,MAdr04_csp,MAdr04_cspstorage,MAdr04_wind,MAdr04_hydroreservoir,MAdr04_reservoir,AL_load,AL_solar,AL_wind,MR_load,MR_solar,MR_wind,ES_load,ES_solar,ES_wind,PT_load,PT_solar,PT_wind
source,MAdr01_bus_el,MAdr01_solar,MAdr01_csp_direct,MAdr01_csp,MAdr01_bus_el,MAdr01_wind,MAdr01_hydroreservoir,MAdr01_bus_el,MAdr02_bus_el,MAdr02_solar,MAdr02_csp_direct,MAdr02_csp,MAdr02_bus_el,MAdr02_wind,MAdr02_hydroreservoir,MAdr02_bus_el,MAdr03_bus_el,MAdr03_solar,MAdr03_csp_direct,MAdr03_csp,MAdr03_bus_el,MAdr03_wind,MAdr03_hydroreservoir,MAdr03_bus_el,MAdr04_bus_el,MAdr04_solar,MAdr04_csp_direct,MAdr04_csp,MAdr04_bus_el,MAdr04_wind,MAdr04_hydroreservoir,MAdr04_bus_el,AL_bus_el,AL_solar,AL_wind,MR_bus_el,MR_solar,MR_wind,ES_bus_el,ES_solar,ES_wind,PT_bus_el,PT_solar,PT_wind
target,MAdr01_load,MAdr01_bus_el,MAdr01_bus_el,MAdr01_bus_el,MAdr01_cspstorage,MAdr01_bus_el,MAdr01_bus_el,MAdr01_reservoir,MAdr02_load,MAdr02_bus_el,MAdr02_bus_el,MAdr02_bus_el,MAdr02_cspstorage,MAdr02_bus_el,MAdr02_bus_el,MAdr02_reservoir,MAdr03_load,MAdr03_bus_el,MAdr03_bus_el,MAdr03_bus_el,MAdr03_cspstorage,MAdr03_bus_el,MAdr03_bus_el,MAdr03_reservoir,MAdr04_load,MAdr04_bus_el,MAdr04_bus_el,MAdr04_bus_el,MAdr04_cspstorage,MAdr04_bus_el,MAdr04_bus_el,MAdr04_reservoir,AL_load,AL_bus_el,AL_bus_el,MR_load,MR_bus_el,MR_bus_el,ES_load,ES_bus_el,ES_bus_el,PT_load,PT_bus_el,PT_bus_el
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2014-01-01 00:00:00+00:00,0.6276515843,0,0,0,0,0.118810843,1,1,0.6276515843,0,0,0,0,0.003405904,1,1,0.6276515843,0,0,0,0,0.090598913,1,1,0.6276515843,0,0,0,0,0.705844841,1,1,0.63,0.12,0.12,0,0,0,0,0,0,0,0,0
2014-01-01 01:00:00+00:00,0.5766475107,0,0,0,0,0.115100181,1,1,0.5766475107,0,0,0,0,0.001393246,1,1,0.5766475107,0,0,0,0,0.09733554,1,1,0.5766475107,0,0,0,0,0.712720727,1,1,0.58,0.12,0.12,0,0,0,0,0,0,0,0,0
2014-01-01 02:00:00+00:00,0.5474547177,0,0,0,0,0.09733554,1,1,0.5474547177,0,0,0,0,0.001093881,1,1,0.5474547177,0,0,0,0,0.115100181,1,1,0.5474547177,0,0,0,0,0.705844841,1,1,0.55,0.1,0.1,0,0,0,0,0,0,0,0,0
2014-01-01 03:00:00+00:00,0.5255601999,0,0,0,0,0.077764105,1,1,0.5255601999,0,0,0,0,0.001797291,1,1,0.5255601999,0,0,0,0,0.15042772,1,1,0.5255601999,0,0,0,0,0.732885984,1,1,0.53,0.08,0.08,0,0,0,0,0,0,0,0,0
2014-01-01 04:00:00+00:00,0.529209643,0,0,0,0,0.057376967,1,1,0.529209643,0,0,0,0,0.001286915,1,1,0.529209643,0,0,0,0,0.176520593,1,1,0.529209643,0,0,0,0,0.752302701,1,1,0.53,0.06,0.06,0,0,0,0,0,0,0,0,0
2014-01-01 05:00:00+00:00,0.5255608128,0,0,0,0,0.0377453,1,1,0.5255608128,0,0,0,0,0.000132,1,1,0.5255608128,0,0,0,0,0.172021265,1,1,0.5255608128,0,0,0,0,0.739444672,1,1,0.53,0.04,0.04,0,0,0,0,0,0,0,0,0
2014-01-01 06:00:00+00:00,0.5182628466,0,0,0,0,0.017347829,1,1,0.5182628466,0,0,0,0,4.85E-10,1,1,0.5182628466,0,0,0,0,0.167583454,1,1,0.5182628466,0,0,0,0,0.712720727,1,1,0.52,0.02,0.02,0,0,0,0,0,0,0,0,0
2014-01-01 07:00:00+00:00,0.5547545269,0,0,0,0,0.01485613,1,1,0.5547545269,0.001884,0,0,0,0.000369027,1,1,0.5547545269,0,0,0,0,0.199979014,1,1,0.5547545269,0,0,0,0,0.684795374,1,1,0.55,0.01,0.01,0,0,0,0,0,0,0,0,0
2014-01-01 08:00:00+00:00,0.6642289506,0.0381172,0,0,0,0.035626271,1,1,0.6642289506,0.0750951,0,0,0,0.000132,1,1,0.6642289506,0.0826958,0,0,0,0.21997002,1,1,0.6642289506,0.0762894,0,0,0,0.663179004,1,1,0.66,0.04,0.04,0,0,0,0,0,0,0,0,0
2014-01-01 09:00:00+00:00,0.6861240844,0.105305,0,0,0,0.026247494,1,1,0.6861240844,0.178579,0,0,0,2.35E-08,1,1,0.6861240844,0.190477,0,0,0,0.28105494,1,1,0.6861240844,0.201478,0,0,0,0.641085305,1,1,0.69,0.03,0.03,0,0,0,0,0,0,0,0,0
2014-01-01 10:00:00+00:00,0.7007209451,0.239587,0,0,0,0.003981718,1,1,0.7007209451,0.319722,0,0,0,0.000000382,1,1,0.7007209451,0.328081,0,0,0,0.230397951,1,1,0.7007209451,0.345531,0,0,0,0.691879115,1,1,0.7,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 11:00:00+00:00,0.7153178069,0.328139,0,0,0,0.000819269,1,1,0.7153178069,0.451622,0,0,0,0.001644754,1,1,0.7153178069,0.461305,0,0,0,0.199979014,1,1,0.7153178069,0.484333,0,0,0,0.595842615,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 12:00:00+00:00,0.7189672584,0.341618,0.0722543,0.0722543,0.0722543,0.000910317,1,1,0.7189672584,0.48934,0.0722543,0.0722543,0.0722543,0.031633809,1,1,0.7189672584,0.517361,0.0722543,0.0722543,0.0722543,0.190398652,1,1,0.7189672584,0.562485,0.0722543,0.0722543,0.0722543,0.458355431,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 13:00:00+00:00,0.7080201624,0.31456,0.277516,0.277516,0.277516,0.001286915,1,1,0.7080201624,0.433792,0.277516,0.277516,0.277516,0.071667212,1,1,0.7080201624,0.493789,0.277516,0.277516,0.277516,0.19515521,1,1,0.7080201624,0.554282,0.277516,0.277516,0.277516,0.351098019,1,1,0.71,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 14:00:00+00:00,0.7189678902,0.258049,0.281893,0.281893,0.281893,0.002381778,1,1,0.7189678902,0.315365,0.281893,0.281893,0.281893,0.068699305,1,1,0.7189678902,0.407603,0.281893,0.281893,0.281893,0.199979014,1,1,0.7189678902,0.478156,0.281893,0.281893,0.281893,0.293145678,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 15:00:00+00:00,0.7226173449,0.179299,0,0,0,0.003981718,1,1,0.7226173449,0.192686,0,0,0,0.02975986,1,1,0.7226173449,0.265259,0,0,0,0.199979014,1,1,0.7226173449,0.338991,0,0,0,0.263484343,1,1,0.72,0,0,0,0,0,0,0,0,0,0,0
2014-01-01 16:00:00+00:00,0.7007228408,0.0695131,0,0,0,0.007010896,1,1,0.7007228408,0.0712705,0,0,0,0.005634641,1,1,0.7007228408,0.12422,0,0,0,0.199979014,1,1,0.7007228408,0.173211,0,0,0,0.252151512,1,1,0.7,0.01,0.01,0,0,0,0,0,0,0,0,0
2014-01-01 17:00:00+00:00,0.6788283378,0,0,0,0,0.035626271,1,1,0.6788283378,0,0,0,0,0.001511184,1,1,0.6788283378,0.020687,0,0,0,0.214865663,1,1,0.6788283378,0.0540806,0,0,0,0.269265225,1,1,0.68,0.04,0.04,0,0,0,0,0,0,0,0,0
2014-01-01 18:00:00+00:00,0.6496355617,0,0,0,0,0.100783218,1,1,0.6496355617,0,0,0,0,0.026247494,1,1,0.6496355617,0,0,0,0,0.241123545,1,1,0.6496355617,0,0,0,0,0.331162526,1,1,0.65,0.1,0.1,0,0,0,0,0,0,0,0,0
2014-01-01 19:00:00+00:00,0.6204427866,0,0,0,0,0.172021265,1,1,0.6204427866,0,0,0,0,0.138162135,1,1,0.6204427866,0,0,0,0,0.190398652,1,1,0.6204427866,0,0,0,0,0.399748203,1,1,0.62,0.17,0.17,0,0,0,0,0,0,0,0,0
