class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,GL_resource_uranium,GL_resource_uranium,GL_bus_uranium,,,,,,,,5.961744,,,,,,,,,
Source,GL_resource_lignite,GL_resource_lignite,GL_bus_lignite,,,,,,,,27.5949,,,,,,,,,
Source,GL_resource_hard_coal,GL_resource_hard_coal,GL_bus_hard_coal,,,,,,,,45.86634,,,,,,,,,
Source,GL_resource_gas,GL_resource_gas,GL_bus_gas,,,,,,,,86.86674,,,,,,,,,
Source,GL_resource_oil,GL_resource_oil,GL_bus_oil,,,,,,,,54.05328,,,,,,,,,
Source,GL_resource_mixed_fuels,GL_resource_mixed_fuels,GL_bus_mixed_fuels,,,,,,,,27.24696,,,,,,,,,
Source,GL_resource_biomass,GL_resource_biomass,GL_bus_biomass,,,,,,,,1E-10,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### TNdr01 - Tunisia Region 1,,,,,,,,,,,,,,,,,,,,
Sink,TNdr01_excess,TNdr01_bus_el,TNdr01_excess,,,,,,,,0.00000001,,,,,,,,,
Source,TNdr01_shortage,TNdr01_shortage,TNdr01_bus_el,,,,,,,,1000,,,,,,,,,
LinearTransformer,TNdr01_pp_hard_coal,GL_bus_hard_coal,TNdr01_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_pp_hard_coal,TNdr01_pp_hard_coal,TNdr01_bus_el,0.38,1E-16,,1,,,35000,4,,,,,,,,,
LinearTransformer,TNdr01_pp_gas,GL_bus_gas,TNdr01_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_pp_gas,TNdr01_pp_gas,TNdr01_bus_el,0.425,400,,1,,,19000,2,,,,,,,,,
LinearTransformer,TNdr01_pp_oil,GL_bus_oil,TNdr01_pp_oil,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_pp_oil,TNdr01_pp_oil,TNdr01_bus_el,0.34,1E-16,,1,,,6000,1.5,,,,,,,,,
LinearTransformer,TNdr01_pp_biomass,GL_bus_biomass,TNdr01_pp_biomass,,,,,,,,,,,,,,,,,
LinearTransformer,TNdr01_pp_biomass,TNdr01_pp_biomass,TNdr01_bus_el,0.38,86,,1,8760,,29000,3.9,,,,,,,,,
Source,TNdr01_wind,TNdr01_wind,TNdr01_bus_el,,247,,,,seq,,,True,,,,,,,,
Source,TNdr01_solar,TNdr01_solar,TNdr01_bus_el,,1733,,,,seq,,,True,,,,,,,,
Source,TNdr01_run_of_river,TNdr01_run_of_river,TNdr01_bus_el,,1E-16,,,,seq,,,True,,,,,,,,
Source,TNdr01_geothermal,TNdr01_geothermal,TNdr01_bus_el,,125,,,,seq,,,True,,,,,,,,
Storage,TNdr01_storage_phs,TNdr01_bus_el,TNdr01_storage_phs,,1E-16,,1,,,,0.000000001,,1E-16,0,0.9,0.9,0.5,0,1,
