class,Sink,Source,Source,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Source,Source,Source,Storage,Source,Source,Storage,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source,Sink,Source,Source
label,TNdr01_load,TNdr01_solar,TNdr01_geothermal,TNdr01_run_of_river,TNdr01_csp_direct,TNdr01_csp,TNdr01_cspstorage,TNdr01_wind,TNdr01_hydroreservoir,TNdr01_reservoir,TNdr02_load,TNdr02_solar,TNdr02_geothermal,TNdr02_run_of_river,TNdr02_csp_direct,TNdr02_csp,TNdr02_cspstorage,TNdr02_wind,TNdr02_hydroreservoir,TNdr02_reservoir,TNdr03_load,TNdr03_solar,TNdr03_geothermal,TNdr03_run_of_river,TNdr03_csp_direct,TNdr03_csp,TNdr03_cspstorage,TNdr03_wind,TNdr03_hydroreservoir,TNdr03_reservoir,TNdr04_load,TNdr04_solar,TNdr04_geothermal,TNdr04_run_of_river,TNdr04_csp_direct,TNdr04_csp,TNdr04_cspstorage,TNdr04_wind,TNdr04_hydroreservoir,TNdr04_reservoir,DZ_load,DZ_solar,DZ_wind,LY_load,LY_solar,LY_wind,IT_load,IT_solar,IT_wind,FR_load,FR_solar,FR_wind
source,TNdr01_bus_el,TNdr01_solar,TNdr01_geothermal,TNdr01_run_of_river,TNdr01_csp_direct,TNdr01_csp,TNdr01_bus_el,TNdr01_wind,TNdr01_hydroreservoir,TNdr01_bus_el,TNdr02_bus_el,TNdr02_solar,TNdr02_geothermal,TNdr02_run_of_river,TNdr02_csp_direct,TNdr02_csp,TNdr02_bus_el,TNdr02_wind,TNdr02_hydroreservoir,TNdr02_bus_el,TNdr03_bus_el,TNdr03_solar,TNdr03_geothermal,TNdr03_run_of_river,TNdr03_csp_direct,TNdr03_csp,TNdr03_bus_el,TNdr03_wind,TNdr03_hydroreservoir,TNdr03_bus_el,TNdr04_bus_el,TNdr04_solar,TNdr04_geothermal,TNdr04_run_of_river,TNdr04_csp_direct,TNdr04_csp,TNdr04_bus_el,TNdr04_wind,TNdr04_hydroreservoir,TNdr04_bus_el,DZ_bus_el,DZ_solar,DZ_wind,LY_bus_el,LY_solar,LY_wind,IT_bus_el,IT_solar,IT_wind,FR_bus_el,FR_solar,FR_wind
target,TNdr01_load,TNdr01_bus_el,TNdr01_bus_el,TNdr01_bus_el,TNdr01_bus_el,TNdr01_bus_el,TNdr01_cspstorage,TNdr01_bus_el,TNdr01_bus_el,TNdr01_reservoir,TNdr02_load,TNdr02_bus_el,TNdr02_bus_el,TNdr02_bus_el,TNdr02_bus_el,TNdr02_bus_el,TNdr02_cspstorage,TNdr02_bus_el,TNdr02_bus_el,TNdr02_reservoir,TNdr03_load,TNdr03_bus_el,TNdr03_bus_el,TNdr03_bus_el,TNdr03_bus_el,TNdr03_bus_el,TNdr03_cspstorage,TNdr03_bus_el,TNdr03_bus_el,TNdr03_reservoir,TNdr04_load,TNdr04_bus_el,TNdr04_bus_el,TNdr04_bus_el,TNdr04_bus_el,TNdr04_bus_el,TNdr04_cspstorage,TNdr04_bus_el,TNdr04_bus_el,TNdr04_reservoir,DZ_load,DZ_bus_el,DZ_bus_el,LY_load,LY_bus_el,LY_bus_el,IT_load,IT_bus_el,IT_bus_el,FR_load,FR_bus_el,FR_bus_el
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2014-01-01 00:00:00+00:00,0.489,0,1,1,0,0,0,0,1,1,0.489,0,1,1,0,0,0,0.002384,1,1,0.489,0,1,1,0,0,0,0.097439,1,1,0.489,0,1,1,0,0,0,0.104387,1,1,0.627651584,0.118810843,0.118810843,0,0,0,0,0,0,0,0,0
2014-01-01 01:00:00+00:00,0.47,0,1,1,0,0,0,0,1,1,0.47,0,1,1,0,0,0,0.002384,1,1,0.47,0,1,1,0,0,0,0.122705,1,1,0.47,0,1,1,0,0,0,0.154782,1,1,0.576647511,0.115100181,0.115100181,0,0,0,0,0,0,0,0,0
2014-01-01 02:00:00+00:00,0.461,0,1,1,0,0,0,0.000075,1,1,0.461,0,1,1,0,0,0,0.003694,1,1,0.461,0,1,1,0,0,0,0.142347,1,1,0.461,0,1,1,0,0,0,0.181261,1,1,0.547454718,0.09733554,0.09733554,0,0,0,0,0,0,0,0,0
2014-01-01 03:00:00+00:00,0.451,0,1,1,0,0,0,0.000284,1,1,0.451,0,1,1,0,0,0,0.00564,1,1,0.451,0,1,1,0,0,0,0.150588,1,1,0.451,0,1,1,0,0,0,0.185891,1,1,0.5255602,0.077764105,0.077764105,0,0,0,0,0,0,0,0,0
2014-01-01 04:00:00+00:00,0.426,0,1,1,0,0,0,0.000548,1,1,0.426,0,1,1,0,0,0,0.009765,1,1,0.426,0,1,1,0,0,0,0.154794,1,1,0.426,0,1,1,0,0,0,0.172191,1,1,0.529209643,0.057376967,0.057376967,0,0,0,0,0,0,0,0,0
2014-01-01 05:00:00+00:00,0.426,0,1,1,0,0,0,0.000548,1,1,0.426,0,1,1,0,0,0,0.023051,1,1,0.426,0,1,1,0,0,0,0.154794,1,1,0.426,0,1,1,0,0,0,0.176695,1,1,0.525560813,0.0377453,0.0377453,0,0,0,0,0,0,0,0,0
